Title,Artist,Nationality,Gender,BeginDate,EndDate,release_year,Department,appt_made_date
Château de Bagatelle,Eugène Atget,(French),(Male),-1857,-1927,2021C,**Photography**,2015-01-09T00:00:00
Tailpiece (page 171) from L'ODYSSÉE,Émile Bernard,(French),(Male),-1868,-1941,2021,**Prints & Illustrated Books**,2015-01-12T00:00:00
The Orchestra,Walter Richard Sickert,(British),(Male),-1860,-1942,2021C,**Prints & Illustrated Books**,2015-01-08T00:00:00
"Untitled, no. 1 of 12, from the illustrated book, To Whom It May Concern",Louise Bourgeois,(American),(Female),-1911,-2010,1994),**Prints & Illustrated Books**,2015-01-08T00:00:00
Untitled from Farewell,Moshe Gershuni,(Israeli),(Male),-1936,-2017,1993,**Prints & Illustrated Books**,2015-01-08T00:00:00
"Midway Gardens, Chicago, IL",Frank Lloyd Wright,(American),(Male),-1867,-1959,2003,**Architecture & Design**,2015-01-08T00:00:00
"DEATH OF MOSES, plate 41 (volume, folio 90) from the BIBLE",Marc Chagall,(French),(Male),-1887,-1985,2001(,**Prints & Illustrated Books**,2015-01-09T00:00:00
She-Paul-A-Wee,William Henry Jackson,(American),(Male),-1843,-1942,2010),**Photography**,2015-01-08T00:00:00
Volcano,Roman Signer,(Swiss),(Male),-1938,,1989,**Media and Performance Art**,2015-01-08T00:00:00
Palmolive,George Brecht,(American),(Male),-1926,-2008,2014,**Prints & Illustrated Books**,2015-01-08T00:00:00
Untitled from Andy Warhol Doesn't Play Second Base for the Chicago Cubs,Kelley Walker,(American),(Male),-1969,,2015s,**Prints & Illustrated Books**,2015-01-08T00:00:00
Portrait of Mies from Fluxus 1,George Maciunas,(American),(Male),-1931,-1978,2007(,**Prints & Illustrated Books**,2015-01-08T00:00:00
Great Builders II,Jean Charlot,(American),(Male),-1898,-1979,2011(,**Prints & Illustrated Books**,2015-01-08T00:00:00
Motherfucker from The Bad Habits,Lisa Yuskavage,(American),(Female),-1962,,1990,**Prints & Illustrated Books**,2015-01-08T00:00:00
"Entrance to Rockcut Dwelling, Bandelier National Monument",William R. Current,(American),(Male),-1923,,1991c,**Photography**,2015-01-08T00:00:00
Three Kids and a Sled,Philip Fein,(American),(Male),-1912,-1994,1994),**Photography**,2015-01-08T00:00:00
Study of Kuang Kung,Seong Moy,(American),(Male),-1921,-2013,2021c,**Prints & Illustrated Books**,2015-01-08T00:00:00
Abacus (Furnishing fabric),Paul Rand,(American),(Male),-1914,-1996,1998(,**Architecture & Design**,2015-01-08T00:00:00
Venezuela,Dorothea Lange,(American),(Female),-1895,-1965,1999c,**Photography**,2015-01-08T00:00:00
"Ancien Couvent des Bénédictins anglais, 269 bis rue Saint-Jacques",Eugène Atget,(French),(Male),-1857,-1927,2005,**Photography**,2015-01-08T00:00:00
Sky Backdrop,Alex Israel,(American),(Male),-1982,,2018),**Painting & Sculpture**,2015-01-08T00:00:00
Union der Sozialistischen Sowjet-Republiken: Pressa Köln (Union of Socialist Soviet Republics),El Lissitzky,(Russian),(Male),-1890,-1941,2021),**Prints & Illustrated Books**,2015-01-08T00:00:00
New York City,Lee Friedlander,(American),(Male),-1934,,2020,**Photography**,2015-01-08T00:00:00
Progressive IV for VENTRILOQUIST,Jasper Johns,(American),(Male),-1930,,1986(,**Prints & Illustrated Books**,2015-01-08T00:00:00
Untitled,Eugène Atget,(French),(Male),-1857,-1927,2010(,**Photography**,2015-01-09T00:00:00
Plate (facing page 118) from SAINTE MONIQUE,Pierre Bonnard,(French),(Male),-1867,-1947,2018S,**Prints & Illustrated Books**,2015-01-09T00:00:00
Museum,Peter Blume,(American),(Male),-1906,-1992,2003s,**Drawings**,2015-01-09T00:00:00
Folio,Terry Winters,(American),(Male),-1949,,2010S,**Prints & Illustrated Books**,2015-01-09T00:00:00
Duino,César Paternosto,(Argentine),(Male),-1931,,2020C,**Painting & Sculpture**,2015-01-08T00:00:00
Unmade Bed,Joe Goode,(American),(Male),-1937,,1996c,**Painting & Sculpture**,2015-01-08T00:00:00
#2 from an untitled series,Larry Bell,(American),(Male),-1939,,2017S,**Prints & Illustrated Books**,2015-01-08T00:00:00
Untitled from Notes on a Room,Richard Artschwager,(American),(Male),-1923,-2013,2003c,**Prints & Illustrated Books**,2015-01-08T00:00:00
Untitled,Dan McCarthy,(American),(Male),-1962,,1999,**Drawings**,2015-01-09T00:00:00
Untitled,Wade Guyton,(American),(Male),-1972,,2020,**Painting & Sculpture**,2015-01-08T00:00:00
"French Embassy Staff Quarters, New Delhi, India",Raj Rewal,(Indian),(Male),-1934,,1984C,**Architecture & Design**,2015-01-08T00:00:00
Plate (folio 9) from HIOB,Hella Fischer-Thorer,(German),(Female),-1928,-1978,2008c,**Prints & Illustrated Books**,2015-01-08T00:00:00
Z. I. Gorbovets. Graviury na dereve,Zinovii Gorbovets,(),(),,,2001,**Prints & Illustrated Books**,2015-01-08T00:00:00
Lapeyrouse Wall,Peter Doig,(British),(Male),-1959,,2006(,**Painting & Sculpture**,2015-01-08T00:00:00
The Language of Fashion (El lenguaje de la moda),Juan Luis Martinez,(Chilean),(Male),-1942,-1993,2020s,**Drawings**,2015-01-08T00:00:00
Adam,Amedeo Modigliani,(Italian),(Male),-1884,-1920,2020c,**Drawings**,2015-01-08T00:00:00
Untitled from Pisueña,Juan Uslé,(Spanish),(Male),-1954,,2020c,**Prints & Illustrated Books**,2015-01-08T00:00:00
Roberta's Excorcism Flower Arrangements,Lynn Hershman Leeson,(American),(Female),-1941,,2019C,**Photography**,2015-01-08T00:00:00
(Number 1 of a newspaper campaign),Karl Gerstner,(Swiss),(Male),-1930,,2020(,**Architecture & Design**,2015-01-08T00:00:00
Untitled,Nathan Lyons,(American),(Male),-1930,-2016,2020s,**Photography**,2015-01-08T00:00:00
Femme de Verrières,Eugène Atget,(French),(Male),-1857,-1927,2016(,**Photography**,2015-01-08T00:00:00
Public Sculptures in Public Places,Bob Cato,(Nationality unknown),(Male),-1923,,2017),**Architecture & Design**,2015-01-09T00:00:00
Double page plate (pages 20 and 21) from TAGEBÜCHER,Antonio Saura,(Spanish),(Male),-1930,-1998,2020,**Prints & Illustrated Books**,2015-01-08T00:00:00
Plate (page 215) from LES PETITES FLEURS,Émile Bernard,(French),(Male),-1868,-1941,2018(,**Prints & Illustrated Books**,2015-01-12T00:00:00
Untitled from the series 'Ten Thousand Things That Breathe',Renato Orara,(American),(Male),-1961,,2020,**Drawings**,2015-01-12T00:00:00
Jardin de Luxembourg,Pavel Tchelitchew,(American),(Male),-1898,-1957,1997S,**Drawings**,2015-01-09T00:00:00
Vocal Group Niji,Tadanori Yokoo,(Japanese),(Male),-1936,,2017c,**Architecture & Design**,2015-01-09T00:00:00
Untitled,Unknown,(),(),,,2003(,**Photography**,2015-01-09T00:00:00
Sex Pistols Flyer,Jamie Reid,(British),(Male),-1947,,2015,**Architecture & Design**,2015-01-09T00:00:00
Milk Stone,Wolfgang Laib,(German),(Male),-1950,,2003S,**Painting & Sculpture**,2015-01-09T00:00:00
"ECCE HOMO, plate XVIII (folio 21) from SCÈNES DE LA VIE DU CHRIST",James Ensor,(Belgian),(Male),-1860,-1949,1980C,**Prints & Illustrated Books**,2015-01-09T00:00:00
(Portrait),Alfred Capel Cure,(British),(Male),-1826,-1896,1986C,**Photography**,2015-01-09T00:00:00
Upholstery Material,Anni Albers,(American),(Female),-1899,-1994,1961,**Architecture & Design**,2015-01-09T00:00:00
Double page fold-out plate (folios 17 and 18) from PICCOLO CIRCOLO CHIUSO,Mimmo Paladino,(Italian),(Male),-1948,,2014s,**Prints & Illustrated Books**,2015-01-12T00:00:00
The Unfinished Conversation,John Akomfrah,(British),(Male),-1957,,1996(,**Media and Performance Art**,2015-01-12T00:00:00
In-text plate (page 138) from CIRQUE DE L'ÉTOILE FILANTE,Georges Rouault,(French),(Male),-1871,-1958,2000(,**Prints & Illustrated Books**,2015-01-12T00:00:00
Nancy,Nancy Hellebrand,(American),(Female),-1944,,2008C,**Photography**,2015-01-09T00:00:00
Untitled. (man with a fish),Dorothea Lange,(American),(Female),-1895,-1965,1993s,**Photography**,2015-01-09T00:00:00
TARGET from an untitled portfolio,Ronald Markman,(American),(Male),-1931,,2021s,**Prints & Illustrated Books**,2015-01-09T00:00:00
Schema I: Construction of Axes of a Model; Schema II: Cubist Structure (Construction); and Schema III: Cubist Constructed Drawing from On New Systems in Art (O Novykh Sistemakh Visk Usstve),Kazimir Malevich,(Russian),(Male),-1878,-1935,2019,**Prints & Illustrated Books**,2015-01-09T00:00:00
Light Trails,William Wegman,(American),(Male),-1943,,2020C,**Media and Performance Art**,2015-01-09T00:00:00
Plate IV (folio 7) from FROM JEWISH POEMS,Maurice Grosman,(American),(Male),-1900,-1976,2008S,**Prints & Illustrated Books**,2015-01-09T00:00:00
The Guilty Girl Is Fragile,Louise Bourgeois,(American),(Female),-1911,-2010,2020(,**Prints & Illustrated Books**,2015-01-09T00:00:00
Untitled,Jarrod Beck,(American),(Male),-1977,,2020S,**Drawings**,2015-01-09T00:00:00
Covent Garden Labourers,John Thomson,(British),(Male),-1837,-1921,2016(,**Photography**,2015-01-09T00:00:00
On the Fortress,Jules Pascin,(American),(Male),-1885,-1930,2020C,**Prints & Illustrated Books**,2015-01-09T00:00:00
In-text plate (folio 13 verso) from LA MÉTROMANIE,Jean Dubuffet,(French),(Male),-1901,-1985,2020c,**Prints & Illustrated Books**,2015-01-12T00:00:00
Urchin in the Grass,Richard Stankiewicz,(American),(Male),-1922,-1983,2019,**Painting & Sculpture**,2015-01-09T00:00:00
Untitled from Full Moon in Aries (Vollmond im Widder),Sigmar Polke,(German),(Male),-1941,-2010,2021s,**Prints & Illustrated Books**,2015-01-12T00:00:00
"Sketchbook: El Golea, II",Jean Dubuffet,(French),(Male),-1901,-1985,2017),**Drawings**,2015-01-09T00:00:00
Saint-Cloud,Eugène Atget,(French),(Male),-1857,-1927,2008),**Photography**,2015-01-09T00:00:00
#3 Looking Ahead? So Are We!,Ay-O,(Japanese),(Male),-1931,,2021C,**Prints & Illustrated Books**,2015-01-09T00:00:00
Headpiece (page 97) from POÈMES,Charles Despiau,(French),(Male),-1874,-1946,2020(,**Prints & Illustrated Books**,2015-01-09T00:00:00
The Pool - Deal,Alfred Stieglitz,(American),(Male),-1864,-1946,2008),**Photography**,2015-01-12T00:00:00
Pont Neuf: The Localization of a Tetrahedron in Space from Artists & Photographs,Michael Kirby,(American),(Male),-1931,,2018s,**Prints & Illustrated Books**,2015-01-09T00:00:00
Headpiece (page 9) from POÈME DE L'ANGLE DROIT,Le Corbusier (Charles-Édouard Jeanneret),(French),(Male),-1887,-1965,2021C,**Prints & Illustrated Books**,2015-01-09T00:00:00
I'se Awake,John McGreer,(American),(Male),,,2006),**Photography**,2015-01-09T00:00:00
"""A Famous Fisherman in Action""",Times Wide World Photos,(American),(),-1919,-1941,2004s,**Photography**,2015-01-09T00:00:00
Untitled (for Parkett no. 76),Lucy McKenzie,(British),(Female),-1977,,2003S,**Prints & Illustrated Books**,2015-01-09T00:00:00
Sleeping Figure,Conrad Marca-Relli,(American),(Male),-1913,-2000,2005,**Painting & Sculpture**,2015-01-09T00:00:00
"2nd variant of ...SHE PLACES HER CHEEK THERE... SHE EMBRACES IT... (volume II, folio 8) from PASIPHAÉ",Henri Matisse,(French),(Male),-1869,-1954,2016C,**Prints & Illustrated Books**,2015-01-09T00:00:00
"Evelyn Phetteplace, Shannon Sopko, Cambridge",Nicholas Nixon,(American),(Male),-1947,,2012,**Photography**,2015-01-09T00:00:00
Grace in Window,Tanyth Berkeley,(American),(Female),-1969,,2001,**Photography**,2015-01-09T00:00:00
TWO PART INVENTIONS,James McGarrell,(American),(Male),-1930,,2010,**Prints & Illustrated Books**,2015-01-09T00:00:00
"Plants, Cahows's Barber Shop, Chapman, Nebraska",Wright Morris,(American),(Male),-1910,-1998,2008c,**Photography**,2015-01-09T00:00:00
"ELIJAH TOUCHED BY AN ANGEL, plate 87 (volume II, folio 64) from the BIBLE",Marc Chagall,(French),(Male),-1887,-1985,2010,**Prints & Illustrated Books**,2015-01-09T00:00:00
"LORD WHO GATHERS OUR EXILES (plate, folio 12) from THE SILENT PRAYER",Peter Freudenthal,(Swedish),(Male),-1938,,2020,**Prints & Illustrated Books**,2015-01-09T00:00:00
"Holy Redeemer Church, San Cristóbal de la Laguna, Tenerife, Spain (Elevation and perspective sketches)",Fernando Martín Menis,(Spanish),(Male),-1951,,2015),**Architecture & Design**,2015-01-12T00:00:00
Dziady,Roman Cieslewicz,(French),(Male),-1930,-1996,2020,**Architecture & Design**,2015-01-09T00:00:00
Untitled from Eight Variations for Heiner Friedrich Gallery (Acht Variationen für die Galerie Heiner Friedrich),Fred Sandback,(American),(Male),-1943,-2003,2015c,**Prints & Illustrated Books**,2015-01-09T00:00:00
Self-Portrait,Arch Connelly,(American),(Male),-1950,-1993,2019(,**Painting & Sculpture**,2015-01-12T00:00:00
Richard Pousette-Dart Masher,Ray Johnson,(American),(Male),-1927,-1995,2011,**Drawings**,2015-01-09T00:00:00
"Backyard--Venice West, California",Robert Frank,(American),(Male),-1924,,2013,**Photography**,2015-01-09T00:00:00
Stay the Same Never Change,Laurel Nakadate,(American),(Female),-1975,,2011(,**Film**,2015-01-09T00:00:00
Ireland,Henri Cartier-Bresson,(French),(Male),-1908,-2004,2014s,**Photography**,2015-01-09T00:00:00
First state of plate 6 (folio 34) from QUATRE HISTOIRES DE BLANC ET NOIR,František Kupka,(Czech),(Male),-1871,-1957,2021c,**Prints & Illustrated Books**,2015-01-12T00:00:00
"Combegrasse, Puy de Dome",Jacques-Henri Lartigue,(French),(Male),-1894,-1986,2020c,**Photography**,2015-01-09T00:00:00
Flag,James Riddle,(American),(Male),-1933,,2007(,**Fluxus Collection**,2015-01-12T00:00:00
Arithmetic: Class studying under the Spear method,Frances Benjamin Johnston,(American),(Female),-1864,-1952,2011(,**Photography**,2015-01-12T00:00:00
"Duplicate of in-text plate from page 139 (2nd supplementary suite, plate 16) from TÊTE D'OR",Roger de La Fresnaye,(French),(Male),-1885,-1925,2011C,**Prints & Illustrated Books**,2015-01-09T00:00:00
"Rainbow, Lake George",Alfred Stieglitz,(American),(Male),-1864,-1946,2019C,**Photography**,2015-01-09T00:00:00
Attaque,Louise Bourgeois,(American),(Female),-1911,-2010,2020s,**Prints & Illustrated Books**,2015-01-12T00:00:00
"The Mile-High Illinois, Chicago Project (Dedication to famous architects and engineers and height comparisons to the Washington Monument, Great Pyramid of Giza, Eiffel Tower, and Empire State Building)",Frank Lloyd Wright,(American),(Male),-1867,-1959,2020C,**Architecture & Design**,2015-01-12T00:00:00
Untitled,Jene Highstein,(American),(Male),-1942,,2020C,**Prints & Illustrated Books**,2015-01-09T00:00:00
"Variant of in-text plate from page 79 with +remarque- (supplementary suite, plate 30) from LYSISTRATA",František Kupka,(Czech),(Male),-1871,-1957,2020c,**Prints & Illustrated Books**,2015-01-09T00:00:00
"FIGURE (plate, page 13) from DU CUBISME",André Derain,(French),(Male),-1880,-1954,2020),**Prints & Illustrated Books**,2015-01-09T00:00:00
"Lithograph II (plate, page 21) from REPLI",Henri Matisse,(French),(Male),-1869,-1954,2020s,**Prints & Illustrated Books**,2015-01-09T00:00:00
"J.R. Butler, President of the Southern Tenant Farmers' Union, Memphis, Tennessee",Dorothea Lange,(American),(Female),-1895,-1965,2020(,**Photography**,2015-01-09T00:00:00
Untitled from Spirit Cooking,Marina Abramović,(Yugoslav),(Female),-1946,,2020,**Prints & Illustrated Books**,2015-01-12T00:00:00
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),-1949,,2019c,**Architecture & Design**,2015-01-09T00:00:00
In-text plate (page 14) from TAGEBÜCHER,Antonio Saura,(Spanish),(Male),-1930,-1998,2018s,**Prints & Illustrated Books**,2015-01-09T00:00:00
For Father Berrigan,Llyn Foulkes,(American),(Male),-1934,,2019,**Painting & Sculpture**,2015-01-09T00:00:00
Essene,Frederick Wiseman,(American),(Male),-1930,,2016(,**Film**,2015-01-12T00:00:00
Plate (folio 11) from LA VITTORIA,Jean Tinguely,(Swiss),(Male),-1925,-1991,2019,**Prints & Illustrated Books**,2015-01-09T00:00:00
Untitled,Unknown,(),(),,,2019),**Photography**,2015-01-12T00:00:00
"Banco Pinto & Sotto Mayor, Oliveira de Azeméis, Portugal (Plan and perspective sketches)",Álvaro Siza,(Portuguese),(Male),-1933,,2003S,**Architecture & Design**,2015-01-09T00:00:00
1 mark note (Emergency currency issued by the city of Itzehoe),Wenzel Hablik,(German),(Male),-1881,-1934,2019,**Architecture & Design**,2015-01-09T00:00:00
Scores (pages 5-6) from Fluxus 1,Emmett Williams,(American),(Male),-1925,-2007,2019s,**Prints & Illustrated Books**,2015-01-09T00:00:00
In-text plate (page 108) from PANTAGRUEL,André Derain,(French),(Male),-1880,-1954,2019S,**Prints & Illustrated Books**,2015-01-12T00:00:00
Smoke on Cellophane 5,Frederick Sommer,(American),(Male),-1905,-1999,2019),**Photography**,2015-01-09T00:00:00
Stalin's Great Aunt,Margaret Bourke-White,(American),(Female),-1904,-1971,2019s,**Photography**,2015-01-09T00:00:00
Mother and Child,Wifredo Lam,(Cuban),(Male),-1902,-1982,2021c,**Drawings**,2015-01-09T00:00:00
Drawing for Excreta Fluxorum,George Maciunas,(American),(Male),-1931,-1978,2021C,**Prints & Illustrated Books**,2015-01-09T00:00:00
Are we losing touch?,Friedrich Kunath,(German),(Male),-1974,,2021(,**Drawings**,2015-01-09T00:00:00
Untitled,Almir Mavignier,(Brazilian),(Male),-1925,,2014C,**Prints & Illustrated Books**,2015-01-09T00:00:00
"Untitled (4 days, 3 nights, 1 summer)",Joey Kötting,(British),(Male),-1966,,2020s,**Prints & Illustrated Books**,2015-01-09T00:00:00
Color separations for LOISIRS,Jean Dubuffet,(French),(Male),-1901,-1985,2021c,**Prints & Illustrated Books**,2015-01-09T00:00:00
Wayne County & the Backstreet Boys at Max's,Unknown,(American),(),,,2021),**Architecture & Design**,2015-01-12T00:00:00
International Film Festival,Unknown,(Nationality Unknown),(),,,2021c,**Architecture & Design**,2015-01-09T00:00:00
Untitled,Mateo López,(Colombian),(Male),-1978,,2021,**Drawings**,2015-01-09T00:00:00
"Haiti, Port-au-Prince, Cemetery",Bruce Gilden,(American),(Male),-1946,,2021(,**Photography**,2015-01-12T00:00:00
"Ship Construction, Bath, Maine",Clarence H. White,(American),(Male),-1871,-1925,2018s,**Photography**,2015-01-12T00:00:00
Composition of Circles and Overlapping Angles,Sophie Taeuber-Arp,(Swiss),(Female),-1889,-1943,2020,**Painting & Sculpture**,2015-01-09T00:00:00
Reste,Arnulf Rainer,(Austrian),(Male),-1929,,2019(,**Prints & Illustrated Books**,2015-01-09T00:00:00
Color Wheel (for Parkett no. 81),Cosima von Bonin,(German),(Female),-1962,,2021(,**Prints & Illustrated Books**,2015-01-09T00:00:00
The Little Tear Gland That Says Tic Tac (La Petite fistule lacrimale qui dit tic tac),Max Ernst,(French),(Male),-1891,-1976,2019,**Drawings**,2015-01-09T00:00:00
In-text plate (page 165) from DAPHNIS ET CHLOÉ,Pierre Bonnard,(French),(Male),-1867,-1947,2018C,**Prints & Illustrated Books**,2015-01-09T00:00:00
Headpiece (page 67) from FABLES,Thomas Bewick,(British),(Male),-1753,-1828,2019C,**Prints & Illustrated Books**,2015-01-12T00:00:00
For the Benefit of Native Children (A Beneficio del Niño indigena),Isidoro Ocampo,(Mexican),(Male),-1910,-1983,2019,**Prints & Illustrated Books**,2015-01-09T00:00:00
Untitled,Peter Booth,(Australian),(Male),-1940,,2019C,**Drawings**,2015-01-09T00:00:00
DWB Jahresversammlung,Herbert Bayer,(American),(Male),-1900,-1985,2016c,**Architecture & Design**,2015-01-12T00:00:00
Untitled from the portfolio Souvenirs du Camp de Chalons,Gustave Le Gray,(French),(Male),-1820,-1884,2019S,**Photography**,2015-01-09T00:00:00
"11th variant of ...AND ONE MUST DIE WITHOUT KILLING THE WIND... (volume I, 11th unnumbered folio) from PASIPHAÉ",Henri Matisse,(French),(Male),-1869,-1954,2019c,**Prints & Illustrated Books**,2015-01-12T00:00:00
Oklahoma,Lee Friedlander,(American),(Male),-1934,,2019,**Photography**,2015-01-09T00:00:00
"Reclining Chair with Rocker, with Arms (Perspective sketch)",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2021s,**Architecture & Design**,2015-01-09T00:00:00
