Title,Artist,Nationality,Gender,BeginDate,EndDate,release_year,Department,appt_made_date
So What!,Christian Fossier,(French),(Male),-1943,-2013,2021c,**Prints & Illustrated Books**,2015-01-07T00:00:00
"Plate 8 (in-text plate, folio 18) from UN SOUPÇON",Michel Guino,(French),(Male),-1926,-2013,2020),**Prints & Illustrated Books**,2015-01-07T00:00:00
Trinket,Arthur B. Davies,(American),(Male),-1862,-1928,2020C,**Prints & Illustrated Books**,2015-01-07T00:00:00
"SOBAKÉVITCH AT THE TABLE, plate XXXVI (facing page 130) from LES ÂMES MORTES",Marc Chagall,(French),(Male),-1887,-1985,2010(,**Prints & Illustrated Books**,2015-01-07T00:00:00
Untitled (white lines),Lauretta Vinciarelli,(Italian),(Female),-1943,-2012,2021s,**Architecture & Design**,2015-01-07T00:00:00
"GALATEA PLAYING IN WATER (in-text plate, page 68) from LES ÉGLOGUES",Aristide Maillol,(French),(Male),-1861,-1944,2021),**Prints & Illustrated Books**,2015-01-07T00:00:00
Mrs. Beatrice Baxter Ruyl and Infant,Gertrude Käsebier,(American),(Female),-1852,-1934,2021(,**Photography**,2015-01-07T00:00:00
"Plate (folio 12, duplicate of folio 10 woodcut) from Vingt-cinq poèmes",Jean (Hans) Arp,(French),(Male),-1886,-1966,2021,**Prints & Illustrated Books**,2015-01-07T00:00:00
Topiary,Louise Bourgeois,(American),(Female),-1911,-2010,2021),**Drawings**,2015-01-07T00:00:00
"Ruins of the Church of Las Monjas, Old Panama",Eadweard J. Muybridge,(American),(Male),-1830,-1904,2020(,**Photography**,2015-01-07T00:00:00
FONTAINE MOLIÈRE. RUE RICHELIEU. PAR VISCONTI ET PRADIER,Eugène Atget,(French),(Male),-1857,-1927,2021c,**Photography**,2015-01-07T00:00:00
Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2009s,**Architecture & Design**,2015-01-07T00:00:00
Ileana from Ruminations,Robert Rauschenberg,(American),(Male),-1925,-2008,2015s,**Prints & Illustrated Books**,2015-01-07T00:00:00
Luz Seated (to the right),Jean Charlot,(American),(Male),-1898,-1979,2021),**Prints & Illustrated Books**,2015-01-07T00:00:00
"Untitled, from the series Come Sunday",Thomas Roma,(American),(Male),-1950,,2017,**Photography**,2015-01-07T00:00:00
"Black Panther children in a classroom at the Intercommunal Youth Institute, the Black Panther school, Oakland, California",Stephen Shames,(American),(Male),-1947,,2020,**Photography**,2015-01-07T00:00:00
Wear Your Goggles,Pat Keely,(British),(Male),,,2017c,**Architecture & Design**,2015-01-07T00:00:00
Ballet poster,André Masson,(French),(Male),-1896,-1987,2003s,**Architecture & Design**,2015-01-07T00:00:00
Fingerprint,Robert Watts,(American),(Male),-1923,-1988,2013c,**Prints & Illustrated Books**,2015-01-07T00:00:00
El Frente Popular de Madrid Al Frente Popular del Mundo - Homenaje a Las Brigadas Internacionales,J. Briones,(Spanish),(),,,2019S,**Architecture & Design**,2015-01-07T00:00:00
Untitled from Woodcuts,Thomas Schütte,(German),(Male),-1954,,2021s,**Prints & Illustrated Books**,2015-01-07T00:00:00
"PSALM 122, plate 27 (page 61) from PSAUMES DE DAVID",Marc Chagall,(French),(Male),-1887,-1985,2020,**Prints & Illustrated Books**,2015-01-07T00:00:00
New York I,Aaron Siskind,(American),(Male),-1903,-1991,2004(,**Photography**,2015-01-09T00:00:00
"Weissenhof Housing Colony Master Plan, ""The Dwelling,"" Stuttgart, Germany, Site elevation study from east",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2005c,**Architecture & Design**,2015-01-09T00:00:00
Ode à l'Oubli,Louise Bourgeois,(American),(Female),-1911,-2010,1982C,**Prints & Illustrated Books**,2015-01-09T00:00:00
Two Figures,Max Weber,(American),(Male),-1881,-1961,2021(,**Prints & Illustrated Books**,2015-01-09T00:00:00
Instruction No. 2 from Fluxkit,Benjamin Patterson,(American),(Male),-1934,-2016,2015S,**Prints & Illustrated Books**,2015-01-09T00:00:00
Untitled,Unknown,(),(),,,2016c,**Photography**,2015-01-09T00:00:00
In-text plate (folio 8) from The Adventures of a Novel in Four Chapters,Bruce Conner,(American),(Male),-1933,-2008,2016(,**Prints & Illustrated Books**,2015-01-09T00:00:00
Headpiece (page 17) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,(French),(Male),-1871,-1958,2021(,**Prints & Illustrated Books**,2015-01-09T00:00:00
"Cloud Rock (plate, page 78) from 1¢ Life",Sam Francis,(American),(Male),-1923,-1994,2021C,**Prints & Illustrated Books**,2015-01-09T00:00:00
Untitled from an untitled portfolio,Mateo Manaure,(Venezuelan),(Male),-1926,-2018,2021s,**Prints & Illustrated Books**,2015-01-09T00:00:00
Untitled from Traces of anonymous pupil authors,Haegue Yang,(Korean),(Female),-1971,,2020s,**Prints & Illustrated Books**,2015-01-09T00:00:00
Tailpiece (page 81) from ODES,André Derain,(French),(Male),-1880,-1954,2021),**Prints & Illustrated Books**,2015-01-09T00:00:00
Salt Lake City,Lee Friedlander,(American),(Male),-1934,,2021,**Photography**,2015-01-09T00:00:00
